Party,Wingness,LGBT,BLM,Feminism,Paternal Age,Leftism,Age
Democratic,Left-wing,1,1,1,29,1,45.0
Republican,Right-wing,0,0,0,40,0,25.0
Republican,Right-wing,1,0,1,28,0,41.0
Republican,Right-wing,0,0,0,28,0,33.0
Libertarian,Right-wing,0,0,0,30,0,22.0
Democratic,Left-wing,1,1,1,35,1,37.0
Democratic,Left-wing,1,1,1,32,1,36.0
Democratic,Left-wing,1,1,1,30,1,26.0
Independent,Left-wing,1,1,1,21,1,28.0
Independent,Centrist,1,1,1,20,1,30.0
Independent,Centrist,1,0,1,29,0,31.0
Republican,Right-wing,0,0,0,27,0,64.0
Democratic,Left-wing,1,1,1,32,1,21.0
Democratic,Left-wing,1,1,1,20,1,38.0
Independent,Centrist,1,1,1,28,1,29.0
Independent,Centrist,1,1,1,32,1,30.0
American Solidarity Party,Centrist,0,1,1,33,0,31.0
Independent,Centrist,1,1,0,26,0,21.0
Democratic,Left-wing,1,1,1,26,1,38.0
Democratic,Left-wing,1,1,1,40,1,34.0
Republican,Right-wing,0,0,0,39,0,67.0
Independent,Left-wing,1,1,1,26,1,46.0
Democratic,Left-wing,1,1,1,35,1,29.0
Republican,Centrist,0,0,0,26,0,41.0
Democratic,Left-wing,1,1,1,27,1,55.0
Independent,Right-wing,0,0,0,19,0,34.0
Democratic,Left-wing,1,1,1,39,1,56.0
Democratic,Left-wing,1,1,1,40,1,28.0
Republican,Right-wing,1,0,0,26,0,39.0
Democratic,Left-wing,1,0,1,48,0,23.0
Libertarian,Centrist,1,0,1,32,0,27.0
Republican,Right-wing,0,0,0,33,0,59.0
Democratic,Left-wing,1,1,1,23,1,37.0
Democratic,Centrist,0,1,1,30,0,65.0
Republican,Centrist,1,1,1,27,1,33.0
Independent,Centrist,1,1,1,30,1,35.0
Democratic,Left-wing,1,0,1,27,0,48.0
Republican,Centrist,0,0,1,53,0,61.0
Democratic,Left-wing,1,1,1,34,1,35.0
Democratic,Left-wing,1,1,1,38,1,26.0
Independent,Left-wing,1,1,1,35,1,43.0
Independent,Left-wing,1,1,1,21,1,31.0
Democratic,Left-wing,1,1,1,27,1,43.0
Democratic,Centrist,1,1,1,40,1,42.0
Democratic,Left-wing,1,1,1,48,1,35.0
Democratic,Centrist,1,1,1,28,1,42.0
Democratic,Centrist,1,0,1,33,0,34.0
Independent,Centrist,1,1,1,22,1,64.0
Democratic,Left-wing,1,1,1,30,1,39.0
Independent,Left-wing,1,1,1,28,1,28.0
Democratic,Left-wing,1,1,1,27,1,31.0
Independent,Centrist,1,1,1,37,1,33.0
Democratic,Left-wing,1,1,1,25,1,35.0
Republican,Right-wing,0,0,1,25,0,30.0
Democratic,Left-wing,1,1,1,22,1,35.0
Independent,Centrist,1,1,1,44,1,30.0
Democratic,Left-wing,1,1,1,32,1,33.0
Democratic,Left-wing,1,1,1,30,1,30.0
Democratic,Left-wing,1,1,1,45,1,34.0
Democratic,Left-wing,1,1,1,21,1,63.0
Democratic,Left-wing,1,1,1,33,1,35.0
Republican,Centrist,1,0,0,24,0,37.0
Democratic,Left-wing,1,1,1,33,1,32.0
Republican,Centrist,0,1,1,31,0,59.0
Democratic,Left-wing,1,1,1,33,1,33.0
Republican,Right-wing,0,0,1,28,0,50.0
Independent,Centrist,0,1,0,32,0,18.0
Democratic,Left-wing,1,1,1,28,1,39.0
Independent,Left-wing,1,0,0,35,0,36.0
Republican,Right-wing,0,0,0,30,0,37.0
Independent,Centrist,1,1,1,19,1,56.0
Independent,Centrist,1,0,1,21,0,31.0
Democratic,Left-wing,1,1,1,24,1,37.0
Democratic,Left-wing,1,1,1,33,1,35.0
Republican,Right-wing,0,0,0,27,0,40.0
Independent,Centrist,0,0,0,23,0,48.0
Democratic,Left-wing,1,1,1,24,1,54.0
Independent,Left-wing,1,1,1,29,1,24.0
Independent,Centrist,0,0,0,40,0,40.0
Democratic,Left-wing,1,1,1,28,1,38.0
Independent,Centrist,1,0,1,31,0,29.0
Democratic,Left-wing,1,1,1,28,1,28.0
Democratic,Left-wing,1,1,1,28,1,52.0
Democratic,Left-wing,1,1,1,23,1,39.0
Democratic,Left-wing,1,1,1,30,1,31.0
Independent,Left-wing,1,1,0,19,0,42.0
Democratic,Left-wing,1,1,1,32,1,32.0
Socialist,Left-wing,1,1,1,35,1,50.0
Democratic,Left-wing,1,1,1,33,1,39.0
Democratic,Left-wing,1,1,1,30,1,41.0
Democratic,Left-wing,1,1,1,20,1,39.0
Independent,Left-wing,1,1,1,25,1,33.0
Democratic,Centrist,1,0,1,34,0,75.0
Independent,Left-wing,1,1,1,33,1,42.0
Republican,Right-wing,0,0,0,37,0,32.0
Democratic,Left-wing,1,1,1,27,1,37.0
Democratic,Left-wing,1,1,1,39,1,49.0
Democratic,Left-wing,0,0,1,24,0,70.0
Democratic,Left-wing,1,1,1,25,1,56.0
Democratic,Left-wing,1,1,1,20,1,33.0
Democratic,Centrist,1,1,1,34,1,32.0
Democratic,Centrist,1,0,1,28,0,32.0
Democratic,Left-wing,1,1,1,33,1,45.0
Republican,Centrist,0,0,0,25,0,39.0
Independent,Left-wing,1,1,1,22,1,45.0
Republican,Left-wing,1,1,1,28,1,35.0
Democratic,Left-wing,1,0,1,22,0,27.0
Independent,Left-wing,1,1,1,31,1,38.0
Democratic,Left-wing,1,1,1,41,1,53.0
Republican,Right-wing,0,0,0,39,0,68.0
Democratic,Left-wing,1,1,1,22,1,37.0
Democratic,Left-wing,1,1,1,38,1,22.0
Democratic,Left-wing,1,1,1,29,1,64.0
Democratic,Left-wing,1,1,1,26,1,57.0
Independent,Centrist,1,1,0,29,0,37.0
Independent,Centrist,1,0,0,32,0,30.0
Democratic,Left-wing,1,1,1,28,1,45.0
Democratic,Centrist,1,1,1,30,1,51.0
Republican,Centrist,1,0,0,24,0,54.0
Republican,Right-wing,0,0,0,25,0,30.0
Republican,Right-wing,0,0,1,27,0,52.0
Independent,Right-wing,1,0,1,30,0,63.0
Independent,Left-wing,1,0,1,25,0,30.0
Independent,Left-wing,1,0,1,42,0,28.0
Democratic,Left-wing,1,1,1,24,1,35.0
Democratic,Left-wing,1,1,1,30,1,29.0
Democratic,Centrist,1,0,0,26,0,47.0
Democratic,Left-wing,1,1,1,32,1,41.0
Democratic,Left-wing,1,1,1,35,1,59.0
Democratic,Left-wing,1,1,1,29,1,52.0
Independent,Centrist,1,1,1,45,1,30.0
Republican,Centrist,1,1,1,34,1,41.0
Republican,Right-wing,1,0,1,22,0,36.0
Democratic,Left-wing,1,1,1,27,1,57.0
Democratic,Left-wing,1,1,1,29,1,41.0
Democratic,Left-wing,1,1,1,32,1,31.0
Democratic,Left-wing,1,1,1,33,1,43.0
Democratic,Left-wing,1,1,1,32,1,34.0
Democratic,Left-wing,1,1,1,44,1,40.0
Republican,Right-wing,0,0,0,24,0,35.0
Independent,Left-wing,1,1,1,33,1,29.0
Republican,Right-wing,0,0,0,35,0,69.0
Democratic,Centrist,1,1,1,35,1,49.0
Independent,Right-wing,0,0,1,25,0,56.0
Democratic,Centrist,1,1,1,30,1,31.0
Independent,Left-wing,1,0,1,30,0,38.0
Democratic,Left-wing,1,1,1,27,1,29.0
Independent,Centrist,0,0,0,40,0,66.0
Republican,Right-wing,0,0,0,29,0,92.0
Republican,Centrist,0,0,0,33,0,52.0
Independent,Centrist,0,0,1,26,0,53.0
Democratic,Left-wing,1,1,1,30,1,66.0
Democratic,Left-wing,1,1,1,35,1,59.0
Democratic,Left-wing,1,1,1,29,1,42.0
Democratic,Left-wing,1,1,1,58,1,38.0
Independent,Left-wing,1,0,1,23,0,39.0
Independent,Centrist,1,1,0,28,0,42.0
Republican,Right-wing,0,0,1,30,0,62.0
Independent,Centrist,1,1,1,40,1,22.0
Independent,Left-wing,1,1,1,31,1,31.0
Democratic,Left-wing,1,1,1,30,1,64.0
Democratic,Left-wing,1,1,1,25,1,40.0
Democratic,Left-wing,1,1,1,26,1,37.0
Democratic,Left-wing,0,0,0,34,0,25.0
Democratic,Left-wing,1,1,1,20,1,32.0
Independent,Right-wing,0,0,0,28,0,32.0
Democratic,Left-wing,1,1,1,39,1,31.0
Democratic,Left-wing,1,1,1,35,1,35.0
Democratic,Left-wing,1,1,1,34,1,68.0
Democratic,Left-wing,1,1,1,25,1,53.0
Independent,Right-wing,0,0,0,21,0,74.0
Republican,Right-wing,0,1,0,26,0,41.0
Democratic,Centrist,1,0,1,29,0,26.0
Republican,Centrist,1,1,1,24,1,49.0
Independent,Left-wing,1,1,1,33,1,34.0
Democratic,Left-wing,1,1,1,21,1,50.0
Democratic,Centrist,1,1,1,38,1,25.0
Democratic,Left-wing,1,1,1,26,1,39.0
Democratic,Left-wing,1,1,1,32,1,35.0
Independent,Right-wing,1,1,1,40,1,47.0
Democratic,Left-wing,1,1,1,30,1,33.0
Democratic,Left-wing,1,1,1,21,1,41.0
Democratic,Left-wing,0,1,1,34,0,36.0
Independent,Left-wing,1,1,1,40,1,44.0
Republican,Right-wing,0,0,0,38,0,56.0
Democratic,Left-wing,1,1,1,25,1,41.0
Democratic,Left-wing,1,1,1,23,1,50.0
Republican,Right-wing,1,1,1,30,1,55.0
Republican,Right-wing,1,0,1,20,0,62.0
Democratic,Left-wing,1,1,1,37,1,72.0
Democratic,Centrist,1,0,1,23,0,44.0
Democratic,Left-wing,1,1,1,27,1,60.0
Independent,Centrist,1,1,1,20,1,30.0
Democratic,Left-wing,1,1,1,29,1,31.0
Independent,Centrist,1,0,0,28,0,38.0
Democratic,Left-wing,1,1,1,28,1,32.0
Democratic,Left-wing,1,1,1,28,1,32.0
Independent,Left-wing,1,1,1,33,1,37.0
Democratic,Left-wing,1,1,1,43,1,61.0
Libertarian,Centrist,1,0,1,20,0,31.0
Republican,Right-wing,0,0,0,39,0,67.0
Democratic,Centrist,1,0,1,26,0,51.0
Republican,Right-wing,0,0,0,48,0,35.0
Independent,Centrist,1,1,0,26,0,33.0
Independent,Centrist,1,0,1,23,0,41.0
Republican,Right-wing,0,0,1,29,0,53.0
Libertarian,Right-wing,0,0,0,28,0,56.0
Republican,Right-wing,1,0,1,30,0,34.0
Republican,Right-wing,1,1,0,19,0,20.0
Democratic,Left-wing,1,1,1,41,1,52.0
Democratic,Left-wing,1,1,1,32,1,62.0
Democratic,Left-wing,1,1,1,29,1,28.0
Independent,Centrist,1,1,1,24,1,60.0
Republican,Right-wing,0,0,0,33,0,28.0
Republican,Right-wing,0,0,0,24,0,66.0
Independent,Left-wing,1,1,1,61,1,30.0
Independent,Left-wing,1,1,1,27,1,70.0
Democratic,Left-wing,1,1,1,18,1,51.0
Independent,Right-wing,1,1,1,28,1,65.0
Democratic,Left-wing,1,1,1,30,1,59.0
Democratic,Left-wing,1,1,1,35,1,32.0
Democratic,Left-wing,1,1,1,40,1,35.0
Democratic,Centrist,1,1,1,27,1,34.0
Democratic,Left-wing,1,1,1,37,1,32.0
Democratic,Left-wing,1,1,1,49,1,31.0
Independent,Left-wing,1,1,1,24,1,53.0
Democratic,Left-wing,1,0,1,18,0,31.0
Republican,Right-wing,0,0,0,30,0,33.0
Republican,Right-wing,1,0,0,32,0,37.0
Democratic,Left-wing,1,1,0,28,0,38.0
Democratic,Left-wing,1,1,1,37,1,27.0
Democratic,Left-wing,1,1,1,36,1,67.0
Independent,Left-wing,1,1,1,42,1,22.0
Independent,Left-wing,1,1,1,27,1,48.0
Democratic,Left-wing,1,1,1,35,1,20.0
Independent,Centrist,1,1,1,38,1,42.0
Republican,Centrist,1,0,1,27,0,54.0
Democratic,Left-wing,1,1,1,28,1,33.0
Democratic,Left-wing,1,1,1,38,1,31.0
Independent,Left-wing,1,1,1,28,1,25.0
Independent,Centrist,0,0,1,35,0,33.0
Democratic,Left-wing,1,0,1,35,0,30.0
Democratic,Left-wing,1,0,1,23,0,43.0
Independent,Centrist,1,1,0,39,0,57.0
Democratic,Right-wing,0,1,1,45,0,29.0
Independent,Centrist,1,1,1,25,1,46.0
Democratic,Left-wing,1,1,1,25,1,20.0
Republican,Right-wing,0,0,1,31,0,36.0
Democratic,Centrist,1,1,1,30,1,41.0
Republican,Right-wing,0,0,0,32,0,52.0
Republican,Right-wing,0,0,0,39,0,56.0
Democratic,Left-wing,1,1,1,29,1,20.0
Democratic,Left-wing,1,1,1,31,1,22.0
Democratic,Left-wing,1,1,1,36,1,38.0
Democratic,Left-wing,1,0,1,32,0,27.0
Democratic,Left-wing,1,1,0,21,0,38.0
Republican,Right-wing,0,0,0,29,0,43.0
Independent,Right-wing,0,0,0,38,0,33.0
Independent,Centrist,1,1,1,22,1,49.0
Republican,Right-wing,0,0,1,26,0,37.0
Republican,Right-wing,0,0,1,35,0,62.0
Independent,Centrist,1,1,1,30,1,40.0
Democratic,Left-wing,1,1,1,27,1,42.0
Independent,Centrist,1,1,1,32,1,29.0
Independent,Centrist,1,1,1,36,1,52.0
Republican,Right-wing,0,0,0,35,0,60.0
Republican,Right-wing,0,0,0,27,0,48.0
Democratic,Left-wing,1,1,1,22,1,49.0
Independent,Centrist,1,1,1,43,1,72.0
Democratic,Left-wing,1,1,1,31,1,52.0
Libertarian,Centrist,0,0,0,25,0,44.0
Independent,Centrist,1,1,1,32,1,33.0
Democratic,Left-wing,1,1,1,32,1,29.0
Independent,Centrist,1,1,1,21,1,42.0
Democratic,Left-wing,1,1,1,26,1,28.0
Independent,Centrist,0,0,0,25,0,48.0
Republican,Right-wing,0,0,0,25,0,72.0
Democratic,Left-wing,0,0,0,41,0,51.0
Independent,Left-wing,1,1,1,22,1,37.0
Republican,Right-wing,0,0,0,34,0,31.0
Democratic,Left-wing,1,1,1,30,1,30.0
Republican,Right-wing,0,0,0,26,0,62.0
Democratic,Left-wing,1,1,1,36,1,72.0
Democratic,Left-wing,1,1,1,39,1,25.0
Democratic,Left-wing,1,1,1,36,1,71.0
Democratic,Left-wing,1,1,1,33,1,50.0
Independent,Centrist,1,0,1,25,0,49.0
Independent,Centrist,1,1,1,48,1,29.0
Republican,Right-wing,0,0,0,30,0,65.0
Democratic,Left-wing,1,1,1,25,1,42.0
Democratic,Left-wing,1,1,1,26,1,39.0
Democratic,Left-wing,1,1,1,32,1,36.0
Republican,Right-wing,0,0,1,24,0,66.0
Democratic,Left-wing,1,1,1,23,1,37.0
Republican,Right-wing,0,0,0,26,0,37.0
Democratic,Left-wing,1,1,1,34,1,36.0
Democratic,Left-wing,1,1,1,28,1,42.0
Democratic,Left-wing,1,1,1,37,1,62.0
Independent,Left-wing,1,1,1,34,1,22.0
Democratic,Left-wing,1,1,1,32,1,29.0
Republican,Right-wing,0,0,0,25,0,46.0
Democratic,Left-wing,1,1,1,37,1,39.0
Democratic,Left-wing,1,0,1,33,0,37.0
Democratic,Left-wing,1,1,1,26,1,28.0
Democratic,Left-wing,1,1,1,49,1,31.0
Democratic,Left-wing,0,0,0,32,0,32.0
Democratic,Left-wing,1,1,1,42,1,52.0
Republican,Centrist,0,0,1,23,0,42.0
Democratic,Left-wing,1,1,1,25,1,28.0
Democratic,Left-wing,1,1,1,38,1,29.0
Independent,Centrist,1,1,1,67,1,40.0
Democratic,Left-wing,0,1,1,22,0,49.0
Republican,Right-wing,0,0,0,25,0,94.0
